id,libelle,description,dateDebut,dateFin,dureValidite,cost,budgetUsed,nbrPage,countContact,deactivatedByGroup,hash,meOnly,lastUpdateStatusAt,createdAt,updatedAt,status_id,campaign_type_permission_id,dureValidité,groupe_id,campaign_type,numero_semaine,annee,mois,event
85,Notif groupe 1 2026-03-22,saison - groupe 1,2026-03-22 08:00:00+00:00,2026-03-24 02:00:00+00:00,48.0,1460,1024,3,365,False,8fc643971538e945,False,2026-03-22T10:00:00+01:00,2026-03-21T08:00:00+01:00,2026-03-22T10:00:00+01:00,4,2,,1,NOTIF,12,2026,3,normal
86,Promo groupe 1 2026-04-05,saison - groupe 1,2026-04-05 08:00:00+00:00,2026-04-07 02:00:00+00:00,48.0,984,704,1,492,False,08fc83b4691c754c,False,2026-04-05T10:00:00+01:00,2026-04-04T08:00:00+01:00,2026-04-05T10:00:00+01:00,4,1,,1,PROMO,14,2026,4,normal
87,Notif groupe 1 2026-04-19,saison - groupe 1,2026-04-19 08:00:00+00:00,2026-04-21 02:00:00+00:00,48.0,2190,2027,1,730,False,e09df261416fdc08,False,2026-04-19T10:00:00+01:00,2026-04-18T08:00:00+01:00,2026-04-19T10:00:00+01:00,4,2,,1,NOTIF,16,2026,4,normal
88,Promo groupe 2 2023-01-01,saison - groupe 2,2023-01-01 08:00:00+00:00,2023-01-03 02:00:00+00:00,48.0,1785,1285,4,595,False,03658c2ed90372b5,False,2023-01-01T10:00:00+01:00,2022-12-31T08:00:00+01:00,2023-01-01T10:00:00+01:00,4,3,,2,PROMO,52,2023,1,normal
89,Notif groupe 2 2023-01-31,normal - groupe 2,2023-01-31 08:00:00+00:00,2023-02-02 02:00:00+00:00,48.0,344,298,3,86,False,f18fe6d14c240695,False,2023-01-31T10:00:00+01:00,2023-01-30T08:00:00+01:00,2023-01-31T10:00:00+01:00,4,4,,2,NOTIF,5,2023,1,normal
90,Promo groupe 2 2023-03-02,normal - groupe 2,2023-03-02 08:00:00+00:00,2023-03-04 02:00:00+00:00,48.0,1143,999,1,381,False,151e76d39bff53e1,False,2023-03-02T10:00:00+01:00,2023-03-01T08:00:00+01:00,2023-03-02T10:00:00+01:00,4,3,,2,PROMO,9,2023,3,normal
91,Notif groupe 2 2023-04-01,saison - groupe 2,2023-04-01 08:00:00+00:00,2023-04-03 02:00:00+00:00,48.0,2448,2158,3,816,False,83dcd5507fdf186c,False,2023-04-01T10:00:00+01:00,2023-03-31T08:00:00+01:00,2023-04-01T10:00:00+01:00,4,4,,2,NOTIF,13,2023,4,normal
92,Promo groupe 2 2023-05-01,saison - groupe 2,2023-05-01 08:00:00+00:00,2023-05-03 02:00:00+00:00,48.0,1581,1400,4,527,False,8bdb3191a93da83d,False,2023-05-01T10:00:00+01:00,2023-04-30T08:00:00+01:00,2023-05-01T10:00:00+01:00,4,3,,2,PROMO,18,2023,5,normal
93,Notif groupe 2 2023-05-31,normal - groupe 2,2023-05-31 08:00:00+00:00,2023-06-02 02:00:00+00:00,48.0,807,625,4,269,False,10f1129e565414fd,False,2023-05-31T10:00:00+01:00,2023-05-30T08:00:00+01:00,2023-05-31T10:00:00+01:00,4,4,,2,NOTIF,22,2023,5,normal
94,Promo groupe 2 2023-06-30,normal - groupe 2,2023-06-30 08:00:00+00:00,2023-07-02 02:00:00+00:00,48.0,960,911,2,240,False,4ba54ce531da84db,False,2023-06-30T10:00:00+01:00,2023-06-29T08:00:00+01:00,2023-06-30T10:00:00+01:00,4,3,,2,PROMO,26,2023,6,normal
95,Notif groupe 2 2023-07-30,normal - groupe 2,2023-07-30 08:00:00+00:00,2023-08-01 02:00:00+00:00,48.0,784,582,3,196,False,a68301fc7b10c484,False,2023-07-30T10:00:00+01:00,2023-07-29T08:00:00+01:00,2023-07-30T10:00:00+01:00,4,4,,2,NOTIF,30,2023,7,normal
96,Promo groupe 2 2023-08-29,normal - groupe 2,2023-08-29 08:00:00+00:00,2023-08-31 02:00:00+00:00,48.0,867,797,3,289,False,6a99bd89a9012830,False,2023-08-29T10:00:00+01:00,2023-08-28T08:00:00+01:00,2023-08-29T10:00:00+01:00,4,3,,2,PROMO,35,2023,8,normal
97,Notif groupe 2 2023-09-28,normal - groupe 2,2023-09-28 08:00:00+00:00,2023-09-30 02:00:00+00:00,48.0,858,786,4,286,False,a62178c799f06fd0,False,2023-09-28T10:00:00+01:00,2023-09-27T08:00:00+01:00,2023-09-28T10:00:00+01:00,4,4,,2,NOTIF,39,2023,9,normal
98,Promo groupe 2 2023-10-28,normal - groupe 2,2023-10-28 08:00:00+00:00,2023-10-30 02:00:00+00:00,48.0,622,457,4,311,False,d89af2016a9cd455,False,2023-10-28T10:00:00+01:00,2023-10-27T08:00:00+01:00,2023-10-28T10:00:00+01:00,4,3,,2,PROMO,43,2023,10,normal
99,Notif groupe 2 2023-11-27,normal - groupe 2,2023-11-27 08:00:00+00:00,2023-11-29 02:00:00+00:00,48.0,588,539,3,294,False,7fdaf21abc1895be,False,2023-11-27T10:00:00+01:00,2023-11-26T08:00:00+01:00,2023-11-27T10:00:00+01:00,4,4,,2,NOTIF,48,2023,11,normal
100,Promo groupe 2 2023-12-27,saison - groupe 2,2023-12-27 08:00:00+00:00,2023-12-29 02:00:00+00:00,48.0,2088,1539,3,522,False,6f8cd4e4052f6245,False,2023-12-27T10:00:00+01:00,2023-12-26T08:00:00+01:00,2023-12-27T10:00:00+01:00,4,3,,2,PROMO,52,2023,12,normal
101,Notif groupe 2 2024-01-26,normal - groupe 2,2024-01-26 08:00:00+00:00,2024-01-28 02:00:00+00:00,48.0,261,234,2,87,False,ebfe9ce6a1e7f98d,False,2024-01-26T10:00:00+01:00,2024-01-25T08:00:00+01:00,2024-01-26T10:00:00+01:00,4,4,,2,NOTIF,4,2024,1,normal
102,Promo groupe 2 2024-02-25,normal - groupe 2,2024-02-25 08:00:00+00:00,2024-02-27 02:00:00+00:00,48.0,628,588,2,157,False,55ad91ca31a73b71,False,2024-02-25T10:00:00+01:00,2024-02-24T08:00:00+01:00,2024-02-25T10:00:00+01:00,4,3,,2,PROMO,8,2024,2,normal
103,Notif groupe 2 2024-03-26,saison - groupe 2,2024-03-26 08:00:00+00:00,2024-03-28 02:00:00+00:00,48.0,460,366,2,230,False,1d85c99cb0f40832,False,2024-03-26T10:00:00+01:00,2024-03-25T08:00:00+01:00,2024-03-26T10:00:00+01:00,4,4,,2,NOTIF,13,2024,3,normal
104,Promo groupe 2 2024-04-25,saison - groupe 2,2024-04-25 08:00:00+00:00,2024-04-27 02:00:00+00:00,48.0,1437,1076,4,479,False,768872bdde3694ef,False,2024-04-25T10:00:00+01:00,2024-04-24T08:00:00+01:00,2024-04-25T10:00:00+01:00,4,3,,2,PROMO,17,2024,4,normal
105,Notif groupe 2 2024-05-25,normal - groupe 2,2024-05-25 08:00:00+00:00,2024-05-27 02:00:00+00:00,48.0,560,434,3,280,False,661ac02fbe430390,False,2024-05-25T10:00:00+01:00,2024-05-24T08:00:00+01:00,2024-05-25T10:00:00+01:00,4,4,,2,NOTIF,21,2024,5,normal
106,Promo groupe 2 2024-06-24,normal - groupe 2,2024-06-24 08:00:00+00:00,2024-06-26 02:00:00+00:00,48.0,392,322,4,196,False,6cb0d3d37bebd169,False,2024-06-24T10:00:00+01:00,2024-06-23T08:00:00+01:00,2024-06-24T10:00:00+01:00,4,3,,2,PROMO,26,2024,6,normal
107,Notif groupe 2 2024-07-24,normal - groupe 2,2024-07-24 08:00:00+00:00,2024-07-26 02:00:00+00:00,48.0,903,845,2,301,False,0d3f0e1cc3e79819,False,2024-07-24T10:00:00+01:00,2024-07-23T08:00:00+01:00,2024-07-24T10:00:00+01:00,4,4,,2,NOTIF,30,2024,7,normal
108,Promo groupe 2 2024-08-23,normal - groupe 2,2024-08-23 08:00:00+00:00,2024-08-25 02:00:00+00:00,48.0,1316,940,1,329,False,7d63905dc090a7df,False,2024-08-23T10:00:00+01:00,2024-08-22T08:00:00+01:00,2024-08-23T10:00:00+01:00,4,3,,2,PROMO,34,2024,8,normal
109,Notif groupe 2 2024-09-22,normal - groupe 2,2024-09-22 08:00:00+00:00,2024-09-24 02:00:00+00:00,48.0,342,299,3,114,False,465947034588bea5,False,2024-09-22T10:00:00+01:00,2024-09-21T08:00:00+01:00,2024-09-22T10:00:00+01:00,4,4,,2,NOTIF,38,2024,9,normal
110,Promo groupe 2 2024-10-22,normal - groupe 2,2024-10-22 08:00:00+00:00,2024-10-24 02:00:00+00:00,48.0,304,252,4,152,False,3d73951234374e31,False,2024-10-22T10:00:00+01:00,2024-10-21T08:00:00+01:00,2024-10-22T10:00:00+01:00,4,3,,2,PROMO,43,2024,10,normal
111,Notif groupe 2 2024-11-21,normal - groupe 2,2024-11-21 08:00:00+00:00,2024-11-23 02:00:00+00:00,48.0,570,468,3,190,False,e77e3cb3cdb1aea4,False,2024-11-21T10:00:00+01:00,2024-11-20T08:00:00+01:00,2024-11-21T10:00:00+01:00,4,4,,2,NOTIF,47,2024,11,normal
112,Promo groupe 2 2024-12-21,normal - groupe 2,2024-12-21 08:00:00+00:00,2024-12-23 02:00:00+00:00,48.0,483,414,4,161,False,003173c0094445c5,False,2024-12-21T10:00:00+01:00,2024-12-20T08:00:00+01:00,2024-12-21T10:00:00+01:00,4,3,,2,PROMO,51,2024,12,normal
113,Notif groupe 2 2025-01-20,normal - groupe 2,2025-01-20 08:00:00+00:00,2025-01-22 02:00:00+00:00,48.0,786,667,3,393,False,069004140b11425e,False,2025-01-20T10:00:00+01:00,2025-01-19T08:00:00+01:00,2025-01-20T10:00:00+01:00,4,4,,2,NOTIF,4,2025,1,normal
114,Promo groupe 2 2025-02-19,normal - groupe 2,2025-02-19 08:00:00+00:00,2025-02-21 02:00:00+00:00,48.0,1016,806,2,254,False,b6280105bc25438c,False,2025-02-19T10:00:00+01:00,2025-02-18T08:00:00+01:00,2025-02-19T10:00:00+01:00,4,3,,2,PROMO,8,2025,2,normal
115,Notif groupe 2 2025-03-21,saison - groupe 2,2025-03-21 08:00:00+00:00,2025-03-23 02:00:00+00:00,48.0,1936,1824,1,484,False,0a4f6271ec75eff1,False,2025-03-21T10:00:00+01:00,2025-03-20T08:00:00+01:00,2025-03-21T10:00:00+01:00,4,4,,2,NOTIF,12,2025,3,normal
116,Promo groupe 2 2025-04-20,saison - groupe 2,2025-04-20 08:00:00+00:00,2025-04-22 02:00:00+00:00,48.0,585,463,2,195,False,f64820cc4f42c6dd,False,2025-04-20T10:00:00+01:00,2025-04-19T08:00:00+01:00,2025-04-20T10:00:00+01:00,4,3,,2,PROMO,16,2025,4,normal
117,Notif groupe 2 2025-05-20,normal - groupe 2,2025-05-20 08:00:00+00:00,2025-05-22 02:00:00+00:00,48.0,561,489,3,187,False,679f930727c05576,False,2025-05-20T10:00:00+01:00,2025-05-19T08:00:00+01:00,2025-05-20T10:00:00+01:00,4,4,,2,NOTIF,21,2025,5,normal
118,Promo groupe 2 2025-06-19,saison - groupe 2,2025-06-19 08:00:00+00:00,2025-06-21 02:00:00+00:00,48.0,1548,1298,3,516,False,e61ce84127e7633b,False,2025-06-19T10:00:00+01:00,2025-06-18T08:00:00+01:00,2025-06-19T10:00:00+01:00,4,3,,2,PROMO,25,2025,6,normal
119,Notif groupe 2 2025-07-19,normal - groupe 2,2025-07-19 08:00:00+00:00,2025-07-21 02:00:00+00:00,48.0,358,337,2,179,False,5eedb1d6fd2a49a5,False,2025-07-19T10:00:00+01:00,2025-07-18T08:00:00+01:00,2025-07-19T10:00:00+01:00,4,4,,2,NOTIF,29,2025,7,normal
120,Promo groupe 2 2025-08-18,normal - groupe 2,2025-08-18 08:00:00+00:00,2025-08-20 02:00:00+00:00,48.0,1532,1163,2,383,False,cbe12d571fc14f41,False,2025-08-18T10:00:00+01:00,2025-08-17T08:00:00+01:00,2025-08-18T10:00:00+01:00,4,3,,2,PROMO,34,2025,8,normal
121,Notif groupe 2 2025-09-17,normal - groupe 2,2025-09-17 08:00:00+00:00,2025-09-19 02:00:00+00:00,48.0,1320,1079,1,330,False,36c67207bd2135d1,False,2025-09-17T10:00:00+01:00,2025-09-16T08:00:00+01:00,2025-09-17T10:00:00+01:00,4,4,,2,NOTIF,38,2025,9,normal
122,Promo groupe 2 2025-10-17,normal - groupe 2,2025-10-17 08:00:00+00:00,2025-10-19 02:00:00+00:00,48.0,960,883,4,240,False,37a791b4be97ade8,False,2025-10-17T10:00:00+01:00,2025-10-16T08:00:00+01:00,2025-10-17T10:00:00+01:00,4,3,,2,PROMO,42,2025,10,normal
123,Notif groupe 2 2025-11-16,normal - groupe 2,2025-11-16 08:00:00+00:00,2025-11-18 02:00:00+00:00,48.0,620,483,4,155,False,2d79b0f34b5492ae,False,2025-11-16T10:00:00+01:00,2025-11-15T08:00:00+01:00,2025-11-16T10:00:00+01:00,4,4,,2,NOTIF,46,2025,11,normal
124,Promo groupe 2 2025-12-16,normal - groupe 2,2025-12-16 08:00:00+00:00,2025-12-18 02:00:00+00:00,48.0,1264,1169,3,316,False,b5d498a60af0c8f3,False,2025-12-16T10:00:00+01:00,2025-12-15T08:00:00+01:00,2025-12-16T10:00:00+01:00,4,3,,2,PROMO,51,2025,12,normal
125,Notif groupe 2 2026-01-15,normal - groupe 2,2026-01-15 08:00:00+00:00,2026-01-17 02:00:00+00:00,48.0,342,272,2,114,False,017db2ab2697fae4,False,2026-01-15T10:00:00+01:00,2026-01-14T08:00:00+01:00,2026-01-15T10:00:00+01:00,4,4,,2,NOTIF,3,2026,1,normal
126,Promo groupe 2 2026-02-14,normal - groupe 2,2026-02-14 08:00:00+00:00,2026-02-16 02:00:00+00:00,48.0,884,650,1,221,False,1e2a4523772e3c91,False,2026-02-14T10:00:00+01:00,2026-02-13T08:00:00+01:00,2026-02-14T10:00:00+01:00,4,3,,2,PROMO,7,2026,2,normal
127,Notif groupe 2 2026-03-16,saison - groupe 2,2026-03-16 08:00:00+00:00,2026-03-18 02:00:00+00:00,48.0,1158,875,1,579,False,a6e8a24a33603c6a,False,2026-03-16T10:00:00+01:00,2026-03-15T08:00:00+01:00,2026-03-16T10:00:00+01:00,4,4,,2,NOTIF,12,2026,3,normal
128,Promo groupe 2 2026-04-15,saison - groupe 2,2026-04-15 08:00:00+00:00,2026-04-17 02:00:00+00:00,48.0,1629,1476,4,543,False,bb1e086773bbc30b,False,2026-04-15T10:00:00+01:00,2026-04-14T08:00:00+01:00,2026-04-15T10:00:00+01:00,4,3,,2,PROMO,16,2026,4,normal
129,Notif groupe 3 2023-01-01,saison - groupe 3,2023-01-01 08:00:00+00:00,2023-01-03 02:00:00+00:00,48.0,1100,985,3,550,False,a3b46a641ac99396,False,2023-01-01T10:00:00+01:00,2022-12-31T08:00:00+01:00,2023-01-01T10:00:00+01:00,4,6,,3,NOTIF,52,2023,1,normal
130,Promo groupe 3 2023-02-15,normal - groupe 3,2023-02-15 08:00:00+00:00,2023-02-17 02:00:00+00:00,48.0,984,837,2,328,False,72fe150f99c548f5,False,2023-02-15T10:00:00+01:00,2023-02-14T08:00:00+01:00,2023-02-15T10:00:00+01:00,4,5,,3,PROMO,7,2023,2,normal
131,Notif groupe 3 2023-04-01,saison - groupe 3,2023-04-01 08:00:00+00:00,2023-04-03 02:00:00+00:00,48.0,1548,1317,3,387,False,a0b6e2c7890d99c7,False,2023-04-01T10:00:00+01:00,2023-03-31T08:00:00+01:00,2023-04-01T10:00:00+01:00,4,6,,3,NOTIF,13,2023,4,normal
132,Promo groupe 3 2023-05-16,normal - groupe 3,2023-05-16 08:00:00+00:00,2023-05-18 02:00:00+00:00,48.0,444,409,3,111,False,64237d25bb2db116,False,2023-05-16T10:00:00+01:00,2023-05-15T08:00:00+01:00,2023-05-16T10:00:00+01:00,4,5,,3,PROMO,20,2023,5,normal
133,Notif groupe 3 2023-06-30,normal - groupe 3,2023-06-30 08:00:00+00:00,2023-07-02 02:00:00+00:00,48.0,621,500,1,207,False,604e5fcf050cc0da,False,2023-06-30T10:00:00+01:00,2023-06-29T08:00:00+01:00,2023-06-30T10:00:00+01:00,4,6,,3,NOTIF,26,2023,6,normal
134,Promo groupe 3 2023-08-14,normal - groupe 3,2023-08-14 08:00:00+00:00,2023-08-16 02:00:00+00:00,48.0,696,522,3,232,False,de14ba5ee58a14aa,False,2023-08-14T10:00:00+01:00,2023-08-13T08:00:00+01:00,2023-08-14T10:00:00+01:00,4,5,,3,PROMO,33,2023,8,normal
135,Notif groupe 3 2023-09-28,normal - groupe 3,2023-09-28 08:00:00+00:00,2023-09-30 02:00:00+00:00,48.0,184,158,4,92,False,8b8b3639ef00938e,False,2023-09-28T10:00:00+01:00,2023-09-27T08:00:00+01:00,2023-09-28T10:00:00+01:00,4,6,,3,NOTIF,39,2023,9,normal
136,Promo groupe 3 2023-11-12,normal - groupe 3,2023-11-12 08:00:00+00:00,2023-11-14 02:00:00+00:00,48.0,360,293,2,120,False,201fdc4cc0245230,False,2023-11-12T10:00:00+01:00,2023-11-11T08:00:00+01:00,2023-11-12T10:00:00+01:00,4,5,,3,PROMO,45,2023,11,normal
137,Notif groupe 3 2023-12-27,saison - groupe 3,2023-12-27 08:00:00+00:00,2023-12-29 02:00:00+00:00,48.0,2340,1861,2,585,False,22dcaa78ce9ee756,False,2023-12-27T10:00:00+01:00,2023-12-26T08:00:00+01:00,2023-12-27T10:00:00+01:00,4,6,,3,NOTIF,52,2023,12,normal
138,Promo groupe 3 2024-02-10,normal - groupe 3,2024-02-10 08:00:00+00:00,2024-02-12 02:00:00+00:00,48.0,1152,1024,1,384,False,415012a843be57d4,False,2024-02-10T10:00:00+01:00,2024-02-09T08:00:00+01:00,2024-02-10T10:00:00+01:00,4,5,,3,PROMO,6,2024,2,normal
139,Notif groupe 3 2024-03-26,saison - groupe 3,2024-03-26 08:00:00+00:00,2024-03-28 02:00:00+00:00,48.0,1188,913,4,396,False,80208c1543e86fb7,False,2024-03-26T10:00:00+01:00,2024-03-25T08:00:00+01:00,2024-03-26T10:00:00+01:00,4,6,,3,NOTIF,13,2024,3,normal
140,Promo groupe 3 2024-05-10,normal - groupe 3,2024-05-10 08:00:00+00:00,2024-05-12 02:00:00+00:00,48.0,450,380,3,225,False,b9b871827d171158,False,2024-05-10T10:00:00+01:00,2024-05-09T08:00:00+01:00,2024-05-10T10:00:00+01:00,4,5,,3,PROMO,19,2024,5,normal
141,Notif groupe 3 2024-06-24,normal - groupe 3,2024-06-24 08:00:00+00:00,2024-06-26 02:00:00+00:00,48.0,176,125,3,88,False,685a4e635f1e4ba8,False,2024-06-24T10:00:00+01:00,2024-06-23T08:00:00+01:00,2024-06-24T10:00:00+01:00,4,6,,3,NOTIF,26,2024,6,normal
142,Promo groupe 3 2024-08-08,normal - groupe 3,2024-08-08 08:00:00+00:00,2024-08-10 02:00:00+00:00,48.0,1086,860,3,362,False,a02f94d81dead653,False,2024-08-08T10:00:00+01:00,2024-08-07T08:00:00+01:00,2024-08-08T10:00:00+01:00,4,5,,3,PROMO,32,2024,8,normal
143,Notif groupe 3 2024-09-22,normal - groupe 3,2024-09-22 08:00:00+00:00,2024-09-24 02:00:00+00:00,48.0,1088,768,4,272,False,a1c397e0100a5a71,False,2024-09-22T10:00:00+01:00,2024-09-21T08:00:00+01:00,2024-09-22T10:00:00+01:00,4,6,,3,NOTIF,38,2024,9,normal
144,Promo groupe 3 2024-11-06,normal - groupe 3,2024-11-06 08:00:00+00:00,2024-11-08 02:00:00+00:00,48.0,735,547,1,245,False,802a9f83756aaecb,False,2024-11-06T10:00:00+01:00,2024-11-05T08:00:00+01:00,2024-11-06T10:00:00+01:00,4,5,,3,PROMO,45,2024,11,normal
145,Notif groupe 3 2024-12-21,normal - groupe 3,2024-12-21 08:00:00+00:00,2024-12-23 02:00:00+00:00,48.0,672,565,1,224,False,2e6e0ce5e19c30ef,False,2024-12-21T10:00:00+01:00,2024-12-20T08:00:00+01:00,2024-12-21T10:00:00+01:00,4,6,,3,NOTIF,51,2024,12,normal
146,Promo groupe 3 2025-02-04,normal - groupe 3,2025-02-04 08:00:00+00:00,2025-02-06 02:00:00+00:00,48.0,682,600,2,341,False,4b1d100eef4bbea9,False,2025-02-04T10:00:00+01:00,2025-02-03T08:00:00+01:00,2025-02-04T10:00:00+01:00,4,5,,3,PROMO,6,2025,2,normal
147,Notif groupe 3 2025-03-21,saison - groupe 3,2025-03-21 08:00:00+00:00,2025-03-23 02:00:00+00:00,48.0,1202,1119,2,601,False,8ae54bbff35b977e,False,2025-03-21T10:00:00+01:00,2025-03-20T08:00:00+01:00,2025-03-21T10:00:00+01:00,4,6,,3,NOTIF,12,2025,3,normal
148,Promo groupe 3 2025-05-05,normal - groupe 3,2025-05-05 08:00:00+00:00,2025-05-07 02:00:00+00:00,48.0,314,260,2,157,False,f30469d2c824e856,False,2025-05-05T10:00:00+01:00,2025-05-04T08:00:00+01:00,2025-05-05T10:00:00+01:00,4,5,,3,PROMO,19,2025,5,normal
149,Notif groupe 3 2025-06-19,saison - groupe 3,2025-06-19 08:00:00+00:00,2025-06-21 02:00:00+00:00,48.0,609,574,3,203,False,fc119cbf18f53c94,False,2025-06-19T10:00:00+01:00,2025-06-18T08:00:00+01:00,2025-06-19T10:00:00+01:00,4,6,,3,NOTIF,25,2025,6,normal
150,Promo groupe 3 2025-08-03,normal - groupe 3,2025-08-03 08:00:00+00:00,2025-08-05 02:00:00+00:00,48.0,363,285,1,121,False,5652f09027cf8039,False,2025-08-03T10:00:00+01:00,2025-08-02T08:00:00+01:00,2025-08-03T10:00:00+01:00,4,5,,3,PROMO,31,2025,8,normal
151,Notif groupe 3 2025-09-17,normal - groupe 3,2025-09-17 08:00:00+00:00,2025-09-19 02:00:00+00:00,48.0,996,832,4,332,False,7c13a70d7afb22e4,False,2025-09-17T10:00:00+01:00,2025-09-16T08:00:00+01:00,2025-09-17T10:00:00+01:00,4,6,,3,NOTIF,38,2025,9,normal
152,Promo groupe 3 2025-11-01,normal - groupe 3,2025-11-01 08:00:00+00:00,2025-11-03 02:00:00+00:00,48.0,1128,833,1,282,False,8535ae3250324d1e,False,2025-11-01T10:00:00+01:00,2025-10-31T08:00:00+01:00,2025-11-01T10:00:00+01:00,4,5,,3,PROMO,44,2025,11,normal
153,Notif groupe 3 2025-12-16,normal - groupe 3,2025-12-16 08:00:00+00:00,2025-12-18 02:00:00+00:00,48.0,558,412,3,186,False,7c65251c61a0faef,False,2025-12-16T10:00:00+01:00,2025-12-15T08:00:00+01:00,2025-12-16T10:00:00+01:00,4,6,,3,NOTIF,51,2025,12,normal
154,Promo groupe 3 2026-01-30,normal - groupe 3,2026-01-30 08:00:00+00:00,2026-02-01 02:00:00+00:00,48.0,392,279,1,196,False,57b609b8ba58cec1,False,2026-01-30T10:00:00+01:00,2026-01-29T08:00:00+01:00,2026-01-30T10:00:00+01:00,4,5,,3,PROMO,5,2026,1,normal
155,Notif groupe 3 2026-03-16,saison - groupe 3,2026-03-16 08:00:00+00:00,2026-03-18 02:00:00+00:00,48.0,760,692,2,190,False,54cb4b134edc11cf,False,2026-03-16T10:00:00+01:00,2026-03-15T08:00:00+01:00,2026-03-16T10:00:00+01:00,4,6,,3,NOTIF,12,2026,3,normal
156,Promo groupe 4 2023-01-01,saison - groupe 4,2023-01-01 08:00:00+00:00,2023-01-03 02:00:00+00:00,48.0,974,692,2,487,False,e1722027850608b9,False,2023-01-01T10:00:00+01:00,2022-12-31T08:00:00+01:00,2023-01-01T10:00:00+01:00,4,7,,4,PROMO,52,2023,1,normal
157,Notif groupe 4 2023-01-19,normal - groupe 4,2023-01-19 08:00:00+00:00,2023-01-21 02:00:00+00:00,48.0,316,260,3,158,False,5f4819c857cb0b63,False,2023-01-19T10:00:00+01:00,2023-01-18T08:00:00+01:00,2023-01-19T10:00:00+01:00,4,8,,4,NOTIF,3,2023,1,normal
158,Promo groupe 4 2023-02-06,normal - groupe 4,2023-02-06 08:00:00+00:00,2023-02-08 02:00:00+00:00,48.0,1112,964,1,278,False,83b8acc50bb94d4f,False,2023-02-06T10:00:00+01:00,2023-02-05T08:00:00+01:00,2023-02-06T10:00:00+01:00,4,7,,4,PROMO,6,2023,2,normal
159,Notif groupe 4 2023-02-24,normal - groupe 4,2023-02-24 08:00:00+00:00,2023-02-26 02:00:00+00:00,48.0,1023,841,4,341,False,36c431f8dc4d05c5,False,2023-02-24T10:00:00+01:00,2023-02-23T08:00:00+01:00,2023-02-24T10:00:00+01:00,4,8,,4,NOTIF,8,2023,2,normal
160,Promo groupe 4 2023-03-14,saison - groupe 4,2023-03-14 08:00:00+00:00,2023-03-16 02:00:00+00:00,48.0,1298,921,1,649,False,4bd23ef79638a2e8,False,2023-03-14T10:00:00+01:00,2023-03-13T08:00:00+01:00,2023-03-14T10:00:00+01:00,4,7,,4,PROMO,11,2023,3,normal
161,Notif groupe 4 2023-04-01,saison - groupe 4,2023-04-01 08:00:00+00:00,2023-04-03 02:00:00+00:00,48.0,818,691,1,409,False,eb4c034b983e7fbd,False,2023-04-01T10:00:00+01:00,2023-03-31T08:00:00+01:00,2023-04-01T10:00:00+01:00,4,8,,4,NOTIF,13,2023,4,normal
162,Promo groupe 4 2023-04-19,saison - groupe 4,2023-04-19 08:00:00+00:00,2023-04-21 02:00:00+00:00,48.0,2268,1633,3,567,False,86874cc4c4838c38,False,2023-04-19T10:00:00+01:00,2023-04-18T08:00:00+01:00,2023-04-19T10:00:00+01:00,4,7,,4,PROMO,16,2023,4,normal
163,Notif groupe 4 2023-05-07,normal - groupe 4,2023-05-07 08:00:00+00:00,2023-05-09 02:00:00+00:00,48.0,680,543,2,340,False,75ab25b73709bef9,False,2023-05-07T10:00:00+01:00,2023-05-06T08:00:00+01:00,2023-05-07T10:00:00+01:00,4,8,,4,NOTIF,18,2023,5,normal
164,Promo groupe 4 2023-05-25,normal - groupe 4,2023-05-25 08:00:00+00:00,2023-05-27 02:00:00+00:00,48.0,708,657,3,354,False,a2049c584622456f,False,2023-05-25T10:00:00+01:00,2023-05-24T08:00:00+01:00,2023-05-25T10:00:00+01:00,4,7,,4,PROMO,21,2023,5,normal
165,Notif groupe 4 2023-06-12,normal - groupe 4,2023-06-12 08:00:00+00:00,2023-06-14 02:00:00+00:00,48.0,864,685,4,216,False,8f411573a79f0c53,False,2023-06-12T10:00:00+01:00,2023-06-11T08:00:00+01:00,2023-06-12T10:00:00+01:00,4,8,,4,NOTIF,24,2023,6,normal
166,Promo groupe 4 2023-06-30,normal - groupe 4,2023-06-30 08:00:00+00:00,2023-07-02 02:00:00+00:00,48.0,322,286,3,161,False,4d0ff3899720e9f5,False,2023-06-30T10:00:00+01:00,2023-06-29T08:00:00+01:00,2023-06-30T10:00:00+01:00,4,7,,4,PROMO,26,2023,6,normal
167,Notif groupe 4 2023-07-18,normal - groupe 4,2023-07-18 08:00:00+00:00,2023-07-20 02:00:00+00:00,48.0,502,392,3,251,False,7992261590120d16,False,2023-07-18T10:00:00+01:00,2023-07-17T08:00:00+01:00,2023-07-18T10:00:00+01:00,4,8,,4,NOTIF,29,2023,7,normal
168,Promo groupe 4 2023-08-05,normal - groupe 4,2023-08-05 08:00:00+00:00,2023-08-07 02:00:00+00:00,48.0,562,484,4,281,False,d138197001ffc34b,False,2023-08-05T10:00:00+01:00,2023-08-04T08:00:00+01:00,2023-08-05T10:00:00+01:00,4,7,,4,PROMO,31,2023,8,normal
169,Notif groupe 4 2023-08-23,normal - groupe 4,2023-08-23 08:00:00+00:00,2023-08-25 02:00:00+00:00,48.0,282,239,4,94,False,1dc2d2fdfafa23fa,False,2023-08-23T10:00:00+01:00,2023-08-22T08:00:00+01:00,2023-08-23T10:00:00+01:00,4,8,,4,NOTIF,34,2023,8,normal
